Geography,Gender,AgeGroup,CreditScoreGroup,BalanceSegment,TenureSegment,NumOfProducts,IsActiveMember,Balance,EstimatedSalary,SalarySegment,RiskSegment,RevenueLost,Exited
France,Female,30-45,Medium,High Balance,Mid-term Customer,2,1,130694.89,153955.38,High Salary,Normal,130694.89,1
Spain,Female,30-45,Medium,High Balance,Long-term Customer,1,0,117451.47,65374.86,Medium Salary,High Risk,0,0
Germany,Female,30-45,Medium,High Balance,Long-term Customer,2,1,206868.78,102986.15,High Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,New Customer,1,0,111695.62,136643.84,High Salary,High Risk,0,0
France,Female,30-45,Medium,High Balance,Long-term Customer,4,0,137285.26,77063.63,Medium Salary,High Risk,137285.26,1
France,Female,Under 30,High,High Balance,Mid-term Customer,1,1,149218.39,9633.01,Low Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,Long-term Customer,1,0,130701.29,59354.24,Medium Salary,High Risk,130701.29,1
France,Female,30-45,Medium,High Balance,New Customer,1,0,167949.48,143162.34,High Salary,High Risk,0,0
France,Male,Under 30,High,High Balance,Mid-term Customer,1,0,131254.81,20199.3,Low Salary,High Risk,0,0
Spain,Male,30-45,Medium,Low Balance,Mid-term Customer,1,1,86656.13,59890.29,Medium Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,Long-term Customer,1,1,114737.26,106655.88,High Salary,Normal,114737.26,1
Germany,Male,60+,Medium,High Balance,Mid-term Customer,1,1,119817.33,43507.1,Low Salary,Normal,119817.33,1
France,Female,46-60,Medium,High Balance,Mid-term Customer,2,1,130806.99,132005.85,High Salary,Normal,130806.99,1
Germany,Female,30-45,High,Low Balance,New Customer,1,0,80931.75,12639.67,Low Salary,Normal,80931.75,1
Germany,Male,30-45,Medium,High Balance,New Customer,1,0,132178.67,11865.76,Low Salary,High Risk,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,3,0,164769.02,119814.25,High Salary,High Risk,164769.02,1
Germany,Male,Under 30,High,High Balance,New Customer,2,0,107233.85,24924.92,Low Salary,High Risk,0,0
France,Female,Under 30,Medium,High Balance,Mid-term Customer,2,1,176227.07,139481.53,High Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,2,1,109949.39,41268.65,Low Salary,Normal,0,0
France,Female,46-60,Medium,High Balance,Long-term Customer,1,0,117738.81,147489.76,High Salary,High Risk,117738.81,1
Spain,Female,30-45,Medium,High Balance,Long-term Customer,1,0,133292.45,111175.09,High Salary,High Risk,0,0
France,Female,30-45,Medium,High Balance,New Customer,1,1,160474.59,95963.14,Medium Salary,Normal,0,0
Germany,Male,46-60,Medium,High Balance,Long-term Customer,1,1,154393.43,137674.96,High Salary,Normal,154393.43,1
Germany,Female,30-45,Medium,High Balance,Long-term Customer,1,1,110827.49,153383.54,High Salary,Normal,110827.49,1
Germany,Female,30-45,Medium,High Balance,Long-term Customer,2,1,145750.45,96660.76,Medium Salary,Normal,0,0
Spain,Female,30-45,Medium,High Balance,Long-term Customer,1,1,109044.3,115818.16,High Salary,Normal,0,0
France,Female,30-45,High,Low Balance,Mid-term Customer,1,1,75170.54,37898.5,Low Salary,Normal,0,0
France,Female,Under 30,Medium,High Balance,Mid-term Customer,1,1,105795.9,41219.09,Low Salary,Normal,0,0
France,Female,Under 30,Medium,High Balance,New Customer,1,0,118097.87,61257.83,Medium Salary,High Risk,0,0
Germany,Male,Under 30,Medium,High Balance,New Customer,1,0,172693.54,141798.98,High Salary,High Risk,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,2,0,129440.3,102638.35,High Salary,High Risk,0,0
France,Male,Under 30,Medium,Low Balance,New Customer,1,0,96471.2,35550.97,Low Salary,Normal,0,0
Spain,Male,Under 30,Medium,High Balance,Mid-term Customer,1,1,140197.18,142935.83,High Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,1,0,135946.26,63170,Medium Salary,High Risk,0,0
Germany,Male,46-60,Medium,Low Balance,New Customer,3,1,81290.02,177747.03,High Salary,Normal,81290.02,1
Germany,Male,46-60,Medium,High Balance,Long-term Customer,1,0,113715.36,18424.24,Low Salary,High Risk,113715.36,1
Spain,Male,46-60,Medium,High Balance,New Customer,1,1,168883.08,18897.78,Low Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Long-term Customer,1,0,143421.74,97879.02,Medium Salary,High Risk,0,0
France,Male,Under 30,Medium,High Balance,Mid-term Customer,1,1,153644.39,63197.88,Medium Salary,Normal,0,0
Spain,Female,46-60,Medium,High Balance,New Customer,1,1,109330.06,75860.01,Medium Salary,Normal,0,0
Germany,Female,Under 30,Medium,High Balance,New Customer,2,0,115095.88,78622.46,Medium Salary,High Risk,0,0
Spain,Male,46-60,High,High Balance,New Customer,1,1,183276.32,13460.27,Low Salary,Normal,0,0
France,Male,30-45,Medium,Low Balance,Long-term Customer,1,0,68193.72,19998.31,Low Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,139729.54,135815.38,High Salary,Normal,0,0
Spain,Female,46-60,Medium,Low Balance,Mid-term Customer,1,1,98365.33,44251.33,Low Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,Long-term Customer,2,1,122453.97,52693.99,Medium Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,2,0,132174.41,93767.03,Medium Salary,High Risk,0,0
Spain,Male,30-45,High,High Balance,New Customer,1,0,104349.45,79503.05,Medium Salary,High Risk,0,0
Germany,Female,30-45,Medium,High Balance,New Customer,1,0,138881.04,129936.53,High Salary,High Risk,138881.04,1
Germany,Female,30-45,High,High Balance,New Customer,1,0,116968.91,175094.62,High Salary,High Risk,0,0
Germany,Male,30-45,Medium,High Balance,New Customer,2,1,105346.03,130379.5,High Salary,Normal,0,0
France,Male,Under 30,Medium,High Balance,Long-term Customer,1,0,136623.19,153228,High Salary,High Risk,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,124445.52,88481.32,Medium Salary,High Risk,0,0
France,Female,30-45,Medium,Low Balance,Mid-term Customer,2,1,68999.66,66879.27,Medium Salary,Normal,0,0
Spain,Male,30-45,Medium,Low Balance,Mid-term Customer,1,1,85768.42,24802.77,Low Salary,Normal,0,0
Spain,Male,30-45,Medium,High Balance,Long-term Customer,2,1,100628,190263.78,High Salary,Normal,0,0
France,Male,46-60,Medium,High Balance,New Customer,1,0,125647.36,57541.08,Medium Salary,High Risk,125647.36,1
Germany,Female,30-45,Medium,High Balance,Long-term Customer,1,1,100375.39,90384.26,Medium Salary,Normal,0,0
France,Male,Under 30,High,High Balance,Mid-term Customer,1,1,171922.72,178028.96,High Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,New Customer,2,1,146810.99,180990.29,High Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,New Customer,1,1,109032.23,155407.21,High Salary,Normal,109032.23,1
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,128653.59,127558.26,High Salary,High Risk,0,0
France,Male,30-45,High,Low Balance,New Customer,1,1,80387.81,77272.62,Medium Salary,Normal,0,0
Germany,Male,30-45,High,High Balance,New Customer,3,0,108508.82,184044.8,High Salary,High Risk,108508.82,1
France,Male,30-45,Medium,High Balance,Long-term Customer,1,0,155978.17,91510.71,Medium Salary,High Risk,0,0
Germany,Male,46-60,Medium,High Balance,Mid-term Customer,1,0,121175.56,117505.07,High Salary,High Risk,121175.56,1
France,Female,Under 30,Medium,Low Balance,Mid-term Customer,2,0,89349.47,180626.68,High Salary,Normal,0,0
Spain,Male,30-45,High,Low Balance,Mid-term Customer,2,0,86131.71,93478.96,Medium Salary,Normal,0,0
France,Female,46-60,High,High Balance,New Customer,1,1,102346.86,114672.64,High Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,Mid-term Customer,1,1,121263.62,13387.88,Low Salary,Normal,0,0
Germany,Male,46-60,Medium,High Balance,Mid-term Customer,1,0,149726.08,88307.87,Medium Salary,High Risk,149726.08,1
France,Male,30-45,High,High Balance,Mid-term Customer,2,0,161274.05,181429.87,High Salary,High Risk,0,0
Spain,Male,30-45,Medium,High Balance,New Customer,1,1,103138.17,96555.42,Medium Salary,Normal,0,0
Germany,Female,30-45,High,High Balance,New Customer,1,0,109628.44,189366.03,High Salary,High Risk,0,0
Germany,Male,30-45,Medium,Low Balance,Mid-term Customer,2,0,97286.16,143433.33,High Salary,Normal,0,0
France,Female,30-45,High,High Balance,Mid-term Customer,1,0,118004.26,183983.82,High Salary,High Risk,0,0
Spain,Male,30-45,Medium,Low Balance,Long-term Customer,1,0,85534.83,169137.24,High Salary,Normal,0,0
Spain,Female,30-45,Medium,Low Balance,Mid-term Customer,2,0,95140.44,123181.44,High Salary,Normal,95140.44,1
Germany,Female,46-60,High,Low Balance,New Customer,1,1,75900.84,192154.66,High Salary,Normal,0,0
France,Female,30-45,High,High Balance,New Customer,1,0,126619.27,198224.38,High Salary,High Risk,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,111833.47,67202.74,Medium Salary,High Risk,0,0
France,Female,46-60,Medium,High Balance,New Customer,1,1,238387.56,147964.99,High Salary,Normal,238387.56,1
France,Female,30-45,High,High Balance,New Customer,2,1,108698.96,161069.73,High Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,New Customer,1,1,112687.69,127749.61,High Salary,Normal,0,0
Germany,Female,46-60,Medium,Low Balance,Mid-term Customer,2,0,81556.89,191914.37,High Salary,Normal,0,0
France,Male,46-60,High,High Balance,Long-term Customer,1,1,136596.85,185791.9,High Salary,Normal,0,0
Germany,Female,30-45,High,Low Balance,Long-term Customer,1,0,98807.45,184570.04,High Salary,Normal,98807.45,1
France,Female,30-45,Medium,High Balance,Mid-term Customer,1,1,107499.7,187632.22,High Salary,Normal,0,0
France,Female,30-45,Low,High Balance,New Customer,2,0,176024.05,182337.98,High Salary,High Risk,0,0
Germany,Male,30-45,Medium,High Balance,New Customer,1,1,127631.62,22197.8,Low Salary,Normal,127631.62,1
Germany,Female,Under 30,Medium,High Balance,Long-term Customer,2,0,109819.16,154491.39,High Salary,High Risk,0,0
Spain,Female,30-45,Medium,High Balance,New Customer,1,0,138734.94,90020.74,Medium Salary,High Risk,0,0
Germany,Male,Under 30,Medium,High Balance,Long-term Customer,2,0,111363.1,197264.35,High Salary,High Risk,0,0
Germany,Male,Under 30,Medium,High Balance,New Customer,2,0,143988,8755.69,Low Salary,High Risk,143988,1
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,118838.75,52820.13,Medium Salary,Normal,0,0
Spain,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,161637.75,20008.46,Low Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,New Customer,1,1,133793.89,34607.14,Low Salary,Normal,133793.89,1
Germany,Male,30-45,Medium,Low Balance,Long-term Customer,1,0,71553.83,177384.45,High Salary,Normal,0,0
France,Female,60+,High,Low Balance,Long-term Customer,2,1,64667.95,140454.14,High Salary,Normal,0,0
France,Female,Under 30,Medium,High Balance,New Customer,1,1,121164.11,59938.81,Medium Salary,Normal,0,0
Spain,Male,60+,Medium,Low Balance,New Customer,1,1,98903.06,81251.24,Medium Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,1,0,104158.84,134169.85,High Salary,High Risk,0,0
Spain,Female,60+,Medium,High Balance,New Customer,2,1,139529.93,175696.16,High Salary,Normal,139529.93,1
France,Male,46-60,Medium,Low Balance,Mid-term Customer,1,0,64646.7,128019.48,High Salary,Normal,64646.7,1
France,Male,30-45,Low,High Balance,New Customer,1,0,118894.22,2923.61,Low Salary,High Risk,0,0
France,Female,30-45,Medium,Low Balance,Long-term Customer,1,1,68213.99,6382.46,Low Salary,Normal,0,0
Spain,Male,46-60,High,High Balance,Long-term Customer,1,1,139196,74028.36,Medium Salary,Normal,0,0
Germany,Male,46-60,Medium,High Balance,Mid-term Customer,1,1,126345.55,17323,Low Salary,Normal,126345.55,1
France,Male,30-45,High,High Balance,Mid-term Customer,1,0,129278.43,165562.84,High Salary,High Risk,0,0
France,Male,30-45,High,High Balance,New Customer,1,0,119558.35,72927.68,Medium Salary,High Risk,0,0
Germany,Female,30-45,Medium,Low Balance,Mid-term Customer,1,0,92467.58,38270.47,Low Salary,Normal,0,0
Spain,Male,46-60,Medium,Low Balance,Mid-term Customer,1,0,99340.83,4523.74,Low Salary,Normal,99340.83,1
Spain,Female,Under 30,Medium,High Balance,Mid-term Customer,2,0,126833.79,60843.09,Medium Salary,High Risk,126833.79,1
Germany,Male,Under 30,High,High Balance,Mid-term Customer,1,1,109676.52,25548.47,Low Salary,Normal,0,0
Germany,Male,46-60,High,High Balance,Mid-term Customer,2,1,134729.99,132702.64,High Salary,Normal,0,0
France,Male,30-45,Low,Low Balance,New Customer,1,0,98431.37,75698.44,Medium Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Long-term Customer,2,0,130368.31,105642.43,High Salary,High Risk,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,1,0,123974.96,102153.75,High Salary,High Risk,0,0
France,Male,60+,High,High Balance,Mid-term Customer,1,1,138082.16,166677.54,High Salary,Normal,0,0
France,Male,30-45,High,High Balance,New Customer,1,0,129855.32,24218.65,Low Salary,High Risk,0,0
France,Male,30-45,High,High Balance,Mid-term Customer,1,0,132308.22,117122.5,High Salary,High Risk,0,0
Germany,Female,30-45,Medium,High Balance,Mid-term Customer,2,0,155447.65,51871.95,Medium Salary,High Risk,155447.65,1
Spain,Male,30-45,Medium,High Balance,New Customer,2,1,124268.64,84321.03,Medium Salary,Normal,0,0
Germany,Female,30-45,Low,High Balance,Long-term Customer,1,0,176311.36,160213.27,High Salary,High Risk,0,0
France,Male,30-45,Medium,Low Balance,New Customer,2,1,99886.42,88695.19,Medium Salary,Normal,0,0
Germany,Male,Under 30,Medium,Low Balance,Mid-term Customer,1,1,85089.3,71638,Medium Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Long-term Customer,2,1,134318.21,198064.52,High Salary,Normal,0,0
Germany,Male,Under 30,Medium,Low Balance,Mid-term Customer,2,1,75395.53,54914.92,Medium Salary,Normal,0,0
Germany,Female,30-45,High,High Balance,Mid-term Customer,1,0,116765.7,190659.17,High Salary,High Risk,116765.7,1
France,Male,30-45,High,High Balance,Mid-term Customer,1,1,111501.66,119333.38,High Salary,Normal,0,0
Germany,Female,46-60,Medium,Low Balance,Mid-term Customer,2,0,76595.08,127095.14,High Salary,Normal,0,0
France,Female,30-45,High,High Balance,Long-term Customer,2,0,160541.36,93541.14,Medium Salary,High Risk,0,0
Germany,Male,30-45,High,High Balance,New Customer,1,0,129728.6,89289.54,Medium Salary,High Risk,0,0
Spain,Female,30-45,Medium,High Balance,Mid-term Customer,4,1,130929.02,28238.25,Low Salary,Normal,130929.02,1
Germany,Female,60+,Medium,High Balance,New Customer,1,1,116800.25,34130.43,Low Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,New Customer,1,1,101016.53,7926.35,Low Salary,Normal,101016.53,1
France,Female,30-45,High,High Balance,Long-term Customer,1,1,190566.65,79997.14,Medium Salary,Normal,0,0
Germany,Female,30-45,High,Low Balance,Mid-term Customer,1,1,97067.69,60920.03,Medium Salary,Normal,97067.69,1
France,Female,30-45,Medium,Low Balance,Mid-term Customer,1,1,92208.54,197699.8,High Salary,Normal,92208.54,1
France,Male,30-45,Medium,High Balance,New Customer,2,0,186347.97,92809.73,Medium Salary,High Risk,0,0
Spain,Male,46-60,High,High Balance,New Customer,1,1,103176.62,163516.16,High Salary,Normal,0,0
Germany,Female,30-45,Medium,Low Balance,Mid-term Customer,2,1,77270.08,115800.1,High Salary,Normal,77270.08,1
Germany,Female,30-45,Medium,High Balance,New Customer,1,1,111911.63,110359.68,High Salary,Normal,111911.63,1
Germany,Male,60+,Medium,Low Balance,Mid-term Customer,1,1,94216.05,78695.68,Medium Salary,Normal,0,0
France,Male,46-60,High,High Balance,Mid-term Customer,1,0,106770.82,123499.27,High Salary,High Risk,0,0
Germany,Female,60+,Medium,High Balance,Mid-term Customer,2,1,138089.97,99920.41,Medium Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Long-term Customer,2,1,133191.19,53289.49,Medium Salary,Normal,0,0
France,Male,30-45,High,Low Balance,Mid-term Customer,1,1,74135.85,11783.1,Low Salary,Normal,74135.85,1
Spain,Male,30-45,High,Low Balance,Mid-term Customer,2,0,99208.46,62402.38,Medium Salary,Normal,0,0
Germany,Male,60+,Medium,Low Balance,Long-term Customer,1,1,92242.34,186235.98,High Salary,Normal,0,0
Germany,Male,Under 30,Medium,High Balance,Mid-term Customer,1,1,108380.72,79005.95,Medium Salary,Normal,0,0
Spain,Female,46-60,Low,Low Balance,Mid-term Customer,1,0,91893.32,144870.28,High Salary,Normal,91893.32,1
France,Female,30-45,Medium,Low Balance,Mid-term Customer,1,1,85757.93,95481,Medium Salary,Normal,0,0
Germany,Male,30-45,Medium,Low Balance,Long-term Customer,1,1,96759.42,174777.98,High Salary,Normal,0,0
France,Male,30-45,High,High Balance,New Customer,2,0,132150.26,23067.97,Low Salary,High Risk,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,1,0,175443.75,113167.17,High Salary,High Risk,175443.75,1
France,Male,30-45,Medium,Low Balance,New Customer,1,1,78990.15,124777.14,High Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,1,0,113743.37,124625.08,High Salary,High Risk,0,0
France,Female,Under 30,Medium,High Balance,Mid-term Customer,1,1,157624.84,49599.27,Low Salary,Normal,0,0
France,Female,60+,Medium,High Balance,Mid-term Customer,2,1,125163.62,151411.5,High Salary,Normal,0,0
Spain,Female,Under 30,Medium,Low Balance,Mid-term Customer,1,0,80922.75,7820.78,Low Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,New Customer,2,0,193354.86,149188.41,High Salary,High Risk,0,0
Germany,Female,30-45,High,High Balance,Long-term Customer,2,1,107648.94,134638.97,High Salary,Normal,0,0
Germany,Female,46-60,Medium,High Balance,Mid-term Customer,1,0,131769.04,184980.23,High Salary,High Risk,131769.04,1
Germany,Male,30-45,Low,High Balance,New Customer,2,0,138992.48,122373.42,High Salary,High Risk,0,0
France,Female,30-45,High,High Balance,Long-term Customer,1,0,113899.92,80215.2,Medium Salary,High Risk,0,0
Germany,Male,Under 30,Medium,High Balance,Mid-term Customer,1,1,114450.32,14081.64,Low Salary,Normal,0,0
Spain,Male,30-45,Medium,Low Balance,Mid-term Customer,1,0,63609.92,74965.61,Medium Salary,Normal,63609.92,1
France,Female,30-45,Medium,Low Balance,Long-term Customer,1,0,75497.51,149682.78,High Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,New Customer,1,0,117704.73,197933.5,High Salary,High Risk,0,0
Germany,Male,30-45,Medium,High Balance,New Customer,2,1,130463.55,37341.17,Low Salary,Normal,0,0
Spain,Male,30-45,Low,Low Balance,Long-term Customer,1,1,46161.18,79577.4,Medium Salary,Normal,0,0
Germany,Male,30-45,High,High Balance,Mid-term Customer,2,1,110182.54,87537.32,Medium Salary,Normal,0,0
France,Male,30-45,Low,High Balance,Long-term Customer,1,0,117221.15,168280.95,High Salary,High Risk,0,0
Germany,Female,30-45,High,Low Balance,Long-term Customer,1,0,79120.27,548.52,Low Salary,Normal,79120.27,1
